"Label","site_id","Ecosystem","GAP_No","WeatherFolder","X_WGS84","Y_WGS84","ELEV_m","ASPECT","SLOPE","Include_YN"
"MS1_sbs_0964_5257",964,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0964_5257_data_41.8125_-116.6875",-116.631301602,41.8468247061,1597,105,1,1
"MS1_sbs_0965_5257",965,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-116.408562564,41.8808975107,1660,204,4,0
"MS1_sbs_0966_5454",966,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-105.016300415,43.1771739647,1427,106,4,0
"MS1_sbs_0967_5257",967,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0967_5257_data_41.8125_-116.4375",-116.427049898,41.8716132527,1618,293,2,1
"MS1_sbs_0968_5455",968,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_0968_5455_data_42.3125_-113.6875",-113.728089339,42.2655943973,1933,313,22,1
"MS1_sbs_0969_5257",969,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0969_5257_data_41.8125_-116.3125",-116.335714502,41.8676075937,1683,303,5,1
"MS1_sbs_0970_5257",970,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0970_5257_data_42.1875_-113.9375",-113.91424355,42.2306900831,1405,102,2,1
"MS1_sbs_0971_5257",971,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-119.350453411,41.3436189912,1603,284,11,0
"MS1_sbs_0972_5455",972,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-119.866781563,41.2447370971,1934,260,10,0
"MS1_sbs_0973_5455",973,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-116.049996306,41.905600405,2015,267,16,0
"MS1_sbs_0974_5455",974,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_0974_5455_data_41.9375_-115.8125",-115.828553997,41.9370255519,2418,309,17,1
"MS1_sbs_0975_5454",975,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_0975_5454_data_42.6875_-110.1875",-110.203102786,42.6829844062,2261,70,5,1
"MS1_sbs_0976_5455",976,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_0976_5455_data_42.0625_-114.9375",-114.932055268,42.0717245241,2199,29,7,1
"MS1_sbs_0977_5454",977,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_0977_5454_data_42.9375_-107.1875",-107.146434636,42.9718898599,1813,12,8,1
"MS1_sbs_0978_5455",978,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_0978_5455_data_42.3125_-112.9375",-112.940919826,42.3386710883,1906,191,13,1
"MS1_sbs_0979_5257",979,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-120.384720733,41.1165933938,1676,101,6,0
"MS1_sbs_0980_5257",980,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0980_5257_data_41.6875_-116.9375",-116.926292403,41.7380623139,1622,2,0,1
"MS1_sbs_0981_5257",981,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-115.23421969,42.0051666087,1787,61,4,0
"MS1_sbs_0982_5455",982,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-115.485934066,41.9589738211,1958,331,6,0
